epoch,consumer,corpus,condition,project,chunk,mode,candidate_base,candidate_expat,base_expat,candidate_base_min,candidate_base_max
1,native,generated,entities/4096/namespaces-1,entities,4096,namespaces-1,1.0013751193465876,2.4832741585141758,2.4869821930274054,0.9482041619498003,1.0144969562651331
1,native,observed-holdout,dotnet/4096/namespaces-0,dotnet,4096,namespaces-0,1.0142908480412804,1.102432644479251,1.0862313107138555,0.8910016332197014,1.0546628239117908
1,native,generated,text/65536/namespaces-1,text,65536,namespaces-1,0.9667364479961352,1.006433918258128,1.039605306942388,0.6632047418907578,0.9779983947644626
1,native,generated,text/65536/namespaces-0,text,65536,namespaces-0,0.9735491124789668,1.0184387273210125,1.0421482579455126,0.9524532903593209,1.7264630147209639
1,native,observed-holdout,qt/65536/namespaces-1,qt,65536,namespaces-1,0.9808407785917388,1.5946807383429953,1.6243865046577104,0.9708992686519855,0.9918413285580341
1,native,generated,elements/65536/namespaces-1,elements,65536,namespaces-1,0.9877046810062029,1.750202793425633,1.720689730960859,0.9583617126287619,1.0241514198023687
1,native,observed-holdout,hadoop/4096/namespaces-0,hadoop,4096,namespaces-0,0.9843462988653917,1.3386303541903322,1.3664852533385348,0.9603466301680674,1.0379313849987555
1,native,tuning,maven/65536/namespaces-1,maven,65536,namespaces-1,1.020436379882214,1.582324286850732,1.555208356765843,1.0076371036986174,1.042103225653538
1,native,tuning,vulkan/4096/namespaces-0,vulkan,4096,namespaces-0,0.9932375458798954,1.2255684021549027,1.2329688915693384,0.9830117358059052,1.016872893841348
1,native,tuning,maven/4096/namespaces-0,maven,4096,namespaces-0,0.9926767601601744,1.271268646257855,1.2650020358174614,0.9673616198169671,1.038199109542822
1,native,generated,namespaces/65536/namespaces-1,namespaces,65536,namespaces-1,0.8906895932342482,1.8975220928130687,2.1277985022655446,0.861144960704889,0.9350887583801176
1,native,generated,elements/4096/namespaces-1,elements,4096,namespaces-1,0.9112792955819744,1.5577302134737372,1.6998947533982764,0.907779238976985,0.938123655331243
1,native,tuning,batik/4096/namespaces-1,batik,4096,namespaces-1,1.0099513410160508,0.9185450422854569,0.9024934688157961,0.9957120434330949,1.033402416522375
1,native,observed-holdout,qt/4096/namespaces-1,qt,4096,namespaces-1,0.9827991643003889,1.6155143466775816,1.6357785316951639,0.9655382587714376,1.0165369768386836
1,native,tuning,vulkan/4096/namespaces-1,vulkan,4096,namespaces-1,0.9904364520858291,1.2500323269115905,1.2580002765912934,0.9735412539258227,1.0003894954041137
1,native,generated,text/4096/namespaces-0,text,4096,namespaces-0,0.9845117859434904,1.0079280149111256,1.0251654909489354,0.972426213953095,1.0030626108322185
1,native,tuning,gtk/4096/namespaces-0,gtk,4096,namespaces-0,1.0041853767334254,1.1705565003225238,1.1677275650070085,0.990454352273738,1.018543481834621
1,native,tuning,wayland/65536/namespaces-1,wayland,65536,namespaces-1,1.0182331208155342,1.002149138059994,0.9874447458454105,0.9784597066623371,1.041670265425239
1,native,observed-holdout,musescore/4096/namespaces-1,musescore,4096,namespaces-1,0.982119134700454,1.5983945268631947,1.618319500960095,0.9682253001002685,1.0237128146796488
1,native,tuning,vulkan/65536/namespaces-1,vulkan,65536,namespaces-1,1.0031391388071729,1.2399120372782404,1.2511843299726106,0.9616833754228403,1.0263667119196807
1,native,tuning,wayland/4096/namespaces-0,wayland,4096,namespaces-0,1.009191564230749,1.0033765661475071,0.9919916082974641,0.9825943686651204,1.0359682903711163
1,native,tuning,wayland/4096/namespaces-1,wayland,4096,namespaces-1,0.9962125720761911,1.0164493062247104,1.0183288168834261,0.9604747087151438,1.0128765413553356
1,native,observed-holdout,musescore/4096/namespaces-0,musescore,4096,namespaces-0,0.9877864888521821,1.5862058891244384,1.60302024611632,0.947974808851646,1.0121193221492644
1,native,observed-holdout,libreoffice/65536/namespaces-1,libreoffice,65536,namespaces-1,0.9292604614117552,1.4619171079754385,1.5765526100942902,0.9152751378701077,0.982431616165632
1,native,generated,entities/65536/namespaces-0,entities,65536,namespaces-0,1.0000631395307715,2.498068072056156,2.4960061553575046,0.9920126695830649,1.0054157124065422
1,native,observed-holdout,libreoffice/4096/namespaces-0,libreoffice,4096,namespaces-0,0.9915348932421805,1.450512271076196,1.4628958405419539,0.9761819498662876,1.0184945314343394
1,native,generated,namespaces/4096/namespaces-1,namespaces,4096,namespaces-1,0.902661761715366,1.9215307756859987,2.1504838422710995,0.8733610100237345,0.9332032942822198
1,native,tuning,gtk/4096/namespaces-1,gtk,4096,namespaces-1,0.9845251449500615,1.1549494821179858,1.1859999863441149,0.8604724022173226,1.0193396298973987
1,native,tuning,docbook/4096/namespaces-0,docbook,4096,namespaces-0,1.0042079337174288,1.1991232959488252,1.1848365153063658,0.9709965857142556,1.6525929449299084
1,native,generated,text/4096/namespaces-1,text,4096,namespaces-1,0.9831470078407637,1.0129157244912252,1.0286785562848282,0.8913457572073675,0.9919024726111701
1,native,tuning,maven/65536/namespaces-0,maven,65536,namespaces-0,0.9887439215487597,1.3537607782227594,1.377252220764743,0.9769281558060051,0.9990845829397129
1,native,tuning,vulkan/65536/namespaces-0,vulkan,65536,namespaces-0,0.9901275422772045,1.207370024474939,1.2155362725541732,0.9751456617775387,1.0009556656311298
1,native,observed-holdout,qt/4096/namespaces-0,qt,4096,namespaces-0,0.9752582372360987,1.5836616822083442,1.609618741372026,0.9724632394249051,1.0030600284694595
1,native,observed-holdout,dotnet/4096/namespaces-1,dotnet,4096,namespaces-1,1.0141900443940681,1.1248196183950214,1.1080792188357604,0.9966834930678329,1.029905858891902
1,native,tuning,batik/4096/namespaces-0,batik,4096,namespaces-0,1.0174104364832428,0.8277345229285445,0.8170521685167573,0.9744773329856131,1.0479030590926086
1,native,generated,namespaces/4096/namespaces-0,namespaces,4096,namespaces-0,1.0120765187650549,1.4915814805346332,1.4721832194845923,0.9649128505596175,1.0171218628924044
1,native,observed-holdout,hadoop/65536/namespaces-1,hadoop,65536,namespaces-1,0.980633549422879,1.354464976034118,1.3865577787439347,0.9739885153624538,1.0108459390439442
1,native,generated,entities/65536/namespaces-1,entities,65536,namespaces-1,1.000835824286511,2.5234455294406892,2.5234803859927792,0.9930517893264996,1.0168766749941516
1,native,tuning,gtk/65536/namespaces-0,gtk,65536,namespaces-0,0.9897960095427861,1.2877666634631122,1.2934243224103519,0.9663268089410257,1.173315128652666
1,native,tuning,wayland/65536/namespaces-0,wayland,65536,namespaces-0,0.9947655744767291,0.9800559306015801,0.9803485052474102,0.9909085585099406,1.020511389885572
1,native,observed-holdout,libreoffice/65536/namespaces-0,libreoffice,65536,namespaces-0,0.9906209606933991,1.4553637641400519,1.4797864767507731,0.9771859765070009,1.010243624439959
1,native,observed-holdout,qt/65536/namespaces-0,qt,65536,namespaces-0,0.9830411170348766,1.5555002496958115,1.5827394686892289,0.9775037089066372,1.0249175749457302
1,native,observed-holdout,libreoffice/4096/namespaces-1,libreoffice,4096,namespaces-1,0.944300518690216,1.486486739129999,1.5740329857505992,0.9332278054379755,0.9573460917526464
1,native,tuning,batik/65536/namespaces-1,batik,65536,namespaces-1,1.0033363372384099,0.9741102235666682,0.9775840796019899,0.9789171537159465,1.0250877378693746
1,native,generated,elements/4096/namespaces-0,elements,4096,namespaces-0,1.0158487524308804,1.766753046963015,1.721689900749096,0.9910104317976043,1.026173787854777
1,native,observed-holdout,dotnet/65536/namespaces-1,dotnet,65536,namespaces-1,1.000464162912674,1.115575324908805,1.1104943000258862,0.9330983861527541,1.0184537386532047
