epoch,consumer,corpus,condition,project,chunk,mode,candidate_base,candidate_expat,base_expat,candidate_base_min,candidate_base_max
1,native,generated,entities/4096/namespaces-1,entities,4096,namespaces-1,1.0033271698849082,2.5108569759572443,2.4861588456966235,0.9864976098027464,1.0628102057060798
1,native,observed-holdout,dotnet/4096/namespaces-0,dotnet,4096,namespaces-0,1.006917829404204,1.0925918037252038,1.0915643864867601,0.9869706117893724,1.0401039574257789
1,native,generated,text/65536/namespaces-1,text,65536,namespaces-1,0.9507687685450579,0.9949693680129004,1.0430278147643102,0.9415868895506381,1.000539723394083
1,native,generated,text/65536/namespaces-0,text,65536,namespaces-0,0.9510886708267668,0.993566137416257,1.0468501393044927,0.9343781748640412,0.9678947982797839
1,native,observed-holdout,qt/65536/namespaces-1,qt,65536,namespaces-1,0.9704227764113978,1.5813166709826165,1.6214404452628175,0.9488208273986186,0.9825707683970699
1,native,generated,elements/65536/namespaces-1,elements,65536,namespaces-1,1.0190986170599283,1.7979874232519995,1.7544685146690022,0.9925446295102228,1.0623462179993322
1,native,observed-holdout,hadoop/4096/namespaces-0,hadoop,4096,namespaces-0,0.9609748162389204,1.2923882050561235,1.3532462374977232,0.9304560681634519,0.9945563283154633
1,native,tuning,maven/65536/namespaces-1,maven,65536,namespaces-1,0.9721114531323753,1.5337854545266436,1.5665507824786442,0.9553295253020994,1.1580688555562515
1,native,tuning,vulkan/4096/namespaces-0,vulkan,4096,namespaces-0,0.9785958991713282,1.198637885129186,1.2289145400840755,0.9686837644872013,0.9920928548808696
1,native,tuning,maven/4096/namespaces-0,maven,4096,namespaces-0,0.9900598350960352,1.236865266671884,1.2438701133814598,0.9670166779066,1.0961410544294095
1,native,generated,namespaces/65536/namespaces-1,namespaces,65536,namespaces-1,0.9817463849480199,2.0950655956071134,2.1222342605767097,0.9393545166661763,1.0163368807052882
1,native,generated,elements/4096/namespaces-1,elements,4096,namespaces-1,1.0014373906123186,1.8160467693615272,1.8203574974167946,0.9855686053747648,1.2131563624823152
